iter	Logloss
221	0.4053408998
222	0.4052249674
223	0.4049578823
224	0.4047526756
225	0.4044291766
226	0.4041760264
227	0.4039332749
228	0.4038135194
229	0.4036578476
230	0.403513423
231	0.4033739122
232	0.4032096058
233	0.4030772948
234	0.4026724606
235	0.4025231044
236	0.4020798595
237	0.4018443231
238	0.4017260229
239	0.40145201
240	0.4007248348
241	0.4005125341
242	0.4003104157
243	0.400171528
244	0.4000539338
245	0.3998203641
246	0.3995600349
247	0.3993557148
248	0.3991556442
249	0.3988311499
250	0.3986625376
251	0.3982165594
252	0.3980793122
253	0.3979867308
254	0.3977602748
255	0.3975907775
256	0.3972808056
257	0.3970790958
258	0.3967743102
259	0.3966879969
260	0.3964508846
261	0.3963243904
262	0.3959441604
263	0.3957378363
264	0.395553914
265	0.3953896585
266	0.3952002674
267	0.3949974637
268	0.3948231805
269	0.3945137396
270	0.3943200085
271	0.3940646696
272	0.3939103863
273	0.3936627316
274	0.3934695364
275	0.3933373716
276	0.3932423722
277	0.3931082309
278	0.392952523
279	0.3927125992
280	0.3925568119
281	0.3923960662
282	0.3922270898
283	0.3920998495
284	0.3919164739
285	0.3917313385
286	0.3914636481
287	0.391377942
288	0.391065758
289	0.3909038203
290	0.3907980866
291	0.3905963101
292	0.3904833003
293	0.3903404661
294	0.3901239766
295	0.3900397551
296	0.3899306208
297	0.3897568275
298	0.3896448648
299	0.3895124661
300	0.3894058752
301	0.3892782618
302	0.3891561316
303	0.3890325508
304	0.3889348925
305	0.3887167764
306	0.3886136179
307	0.3884440328
308	0.388314154
309	0.3882328519
310	0.3880609595
311	0.387749673
312	0.3876088138
313	0.3875132946
314	0.387221687
315	0.3869531995
316	0.3866773126
317	0.3865577629
318	0.386439327
319	0.3863563487
320	0.3861982158
321	0.3860665426
322	0.3859052388
323	0.3858074496
324	0.3856465533
325	0.3855845238
326	0.3854706524
327	0.3853867031
328	0.3852694768
329	0.3851733681
330	0.3850600157
331	0.3849073666
332	0.3848194319
333	0.3847154327
334	0.3846344598
335	0.3845358886
336	0.384403922
337	0.3842881392
338	0.3841217179
339	0.3840339638
340	0.3838071499
341	0.3836289115
342	0.3834224107
343	0.3832868886
344	0.3831943572
345	0.3831032136
346	0.3830144686
347	0.3829137157
348	0.3825902627
349	0.3824720099
350	0.3822959991
351	0.3821316198
352	0.3820275393
353	0.3818930184
354	0.3817745884
355	0.3817048753
356	0.3815876264
357	0.3814945563
358	0.3813906128
359	0.381281851
360	0.3812021215
361	0.3809844146
362	0.3808891292
363	0.3805128344
364	0.3804171381
365	0.3803140577
366	0.3801715765
367	0.3800915169
368	0.3799570734
369	0.379878932
370	0.3797200783
371	0.3794769037
372	0.379334177
373	0.3791835419
374	0.3790532375
375	0.3788725545
376	0.3787383807
377	0.3785883054
378	0.3784367551
379	0.3783658394
380	0.3782816936
381	0.3781391058
382	0.3780567931
383	0.3779730407
384	0.3778760467
385	0.377764726
386	0.3777073144
387	0.377646993
