iter	Logloss
0	0.688545144
1	0.6837184237
2	0.6798554571
3	0.6754293254
4	0.6712529457
5	0.6675951856
6	0.6630960706
7	0.6585610048
8	0.6542916672
9	0.6487931815
10	0.6447374686
11	0.6408734977
12	0.6374829136
13	0.6334811342
14	0.6307125451
15	0.627356055
16	0.6235441492
17	0.6201963239
18	0.6162308665
19	0.6128201734
20	0.6099760902
21	0.6064028744
22	0.6039234517
23	0.6004105048
24	0.5970932442
25	0.5941357484
26	0.590877951
27	0.588655466
28	0.5857533668
29	0.5830515507
30	0.5795799421
31	0.5766653017
32	0.5737749031
33	0.5716797998
34	0.5686788817
35	0.565341967
36	0.563322078
37	0.5609346103
38	0.558061509
39	0.5560009523
40	0.554301317
41	0.5520567999
42	0.5499917844
43	0.5478420597
44	0.5458250557
45	0.5433848184
46	0.5412941084
47	0.5386882008
48	0.5369253212
49	0.5354471101
50	0.533282717
51	0.5316124776
52	0.5294966142
53	0.528177463
54	0.5252894865
55	0.5240753408
56	0.522326061
57	0.5209544894
58	0.5196377003
59	0.5175904461
60	0.5160298468
61	0.514612296
62	0.5129355432
63	0.5116126267
64	0.5092969802
65	0.5081955569
66	0.5065640755
67	0.5055780504
68	0.5040339118
69	0.5025996888
70	0.5014231604
71	0.5000212367
72	0.4984887783
73	0.4962644554
74	0.4947873316
75	0.49329235
76	0.491709218
77	0.4904129939
78	0.4894632271
79	0.4879974419
80	0.4872155085
81	0.4856195048
82	0.484433578
83	0.4835961749
84	0.4822749844
85	0.480343606
86	0.4785053447
87	0.477645878
88	0.4769657213
89	0.4762113128
90	0.4749146883
91	0.4737048749
92	0.4727431968
93	0.4720383605
94	0.4708001047
95	0.4702860494
96	0.4697077652
97	0.4687298247
98	0.4677982868
99	0.4673258514
100	0.465680692
101	0.4647534148
102	0.464242429
103	0.4633118037
104	0.4620001528
105	0.4610050032
106	0.4595137189
107	0.458553214
108	0.4579534259
109	0.4573098951
110	0.4565671848
111	0.4560811555
112	0.4553964666
113	0.454971647
114	0.4544943406
115	0.45327148
116	0.4519019252
117	0.4511748962
118	0.4503607651
119	0.4493490572
120	0.4489717311
121	0.4485910042
122	0.4481224189
123	0.447309414
124	0.4463022161
125	0.4458948512
126	0.4452105076
127	0.4444781548
128	0.4435019989
129	0.4430330198
130	0.4425212786
131	0.4419770479
132	0.4416575475
133	0.4404484808
134	0.4398064388
135	0.4395278251
136	0.4390831926
137	0.4387686502
138	0.438294019
139	0.4379705573
140	0.4376621066
141	0.4371619873
142	0.4364479548
143	0.4357708669
144	0.4354193507
145	0.4350274701
146	0.4347482935
147	0.4344047097
148	0.4341722757
149	0.4334002921
150	0.4328317519
151	0.432497745
152	0.4322147937
153	0.4313976435
154	0.4308495349
155	0.4306173579
156	0.4302487639
157	0.4297767648
158	0.4293093525
159	0.428863169
160	0.4284413879
161	0.4277245784
162	0.4274749199
163	0.427132047
164	0.426697246
165	0.4258327745
166	0.4254619625
167	0.4246165353
168	0.4239724818
169	0.4237451832
170	0.4231269493
171	0.4225984911
172	0.4219901375
173	0.4214108895
174	0.4210380763
175	0.4208401621
176	0.4203181658
177	0.419846787
178	0.4195608384
179	0.4192876174
180	0.4190627637
181	0.4188642824
182	0.4186977317
183	0.4180394156
184	0.4174046977
185	0.417107633
186	0.416437782
187	0.4160283563
188	0.4156503856
189	0.4153497143
190	0.4150255465
191	0.4147915724
192	0.4144528119
193	0.4138691881
194	0.4135561435
195	0.4130844445
196	0.4127100082
197	0.4122472196
198	0.4121074332
199	0.4117837093
200	0.4114873958
201	0.4110315868
202	0.4108655739
203	0.4105683325
204	0.410354308
205	0.4102127637
206	0.4100296353
207	0.4097249011
208	0.4092231355
209	0.4087645122
210	0.4084360928
211	0.4082551272
212	0.4078808094
213	0.4074856708
214	0.4072484713
215	0.4068828653
216	0.406449003
217	0.4062932729
218	0.4061237341
219	0.4057685759
220	0.4054821113
